Partlist

Exported from schmatic.brd at 20/02/2023 10:19

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value            Package          Library          Position (mm)         Orientation

C1       0.1uF            M(1005)_US(0402) Tharindu_lib     (19.49 65.8)          R270
C2       47pF             M(1005)_US(0402) Tharindu_lib     (18.66 65.8)          R270
C3       0.1uF            M(1005)_US(0402) Tharindu_lib     (26.54 70.44)         R0
C4       47pF             M(1005)_US(0402) Tharindu_lib     (26.54 69.63)         R0
C5       0.1uF            M(1005)_US(0402) Tharindu_lib     (26.55 68.76)         R0
C6       0.1uF            M(1005)_US(0402) Tharindu_lib     (27.06 71.74)         R0
C7       0.1uF            M(1005)_US(0402) Tharindu_lib     (19.22 75.38)         R90
C8       0.1uF            M(1005)_US(0402) Tharindu_lib     (20.07 63.52)         R180
C9       47pF             M(1005)_US(0402) Tharindu_lib     (20.07 64.34)         R180
C10      4.7pF            M(1005)_US(0402) Tharindu_lib     (24.32 65.19)         R270
C11      47pF             M(1005)_US(0402) Tharindu_lib     (23.49 63.24)         R270
C12      6.8pF            M(1005)_US(0402) Tharindu_lib     (21.58 61.73)         R180
C13      6.8pF            M(1005)_US(0402) Tharindu_lib     (21.61 60.66)         R180
C14      2.7pF            M(1005)_US(0402) Tharindu_lib     (23.84 61.2)          R270
C15      4.7pF            M(1005)_US(0402) Tharindu_lib     (26.55 67.09)         R0
C16      47pF             M(1005)_US(0402) Tharindu_lib     (28.49 67.09)         R0
C17      47pF             M(1005)_US(0402) Tharindu_lib     (23.44 59.09)         R270
C18      47pF             M(1005)_US(0402) Tharindu_lib     (24.81 56.05)         R0
C19      47pF             M(1005)_US(0402) Tharindu_lib     (20.76 56.14)         R180
C20      47pF             M(1005)_US(0402) Tharindu_lib     (28.22 40.87)         R0
C21      47pF             M(1005)_US(0402) Tharindu_lib     (27.945 43.32)        R180
C22      0.1uF            M(1005)_US(0402) Tharindu_lib     (18.62 29.28)         R180
C23      15pF             CAP_(M1005)_0402 Tharindu         (27.64 76.9)          R180
C24      15pF             CAP_(M1005)_0402 Tharindu         (29.87 74.21)         R90
C25      0.1uF            M(1005)_US(0402) Tharindu_lib     (30.19 38.77)         R180
C26      20pF             M(1005)_US(0402) Tharindu_lib     (27.28 54.68)         R270
C27      20pF             M(1005)_US(0402) Tharindu_lib     (26.73 56.05)         R0
C28      20pF             M(1005)_US(0402) Tharindu_lib     (33.43 70.08)         R180
C29      6.2pF            M(1005)_US(0402) Tharindu_lib     (33.98 71.48)         R90
C30      100pF            M(1005)_US(0402) Tharindu_lib     (42.61 63.37)         R180
C31      10000pF          M(1608)_US(0603) Tharindu_lib     (42.9 62.26)          R0
C32      10uF             M(1608)_US(0603) Tharindu_lib     (42.9 61.11)          R0
C33      47pF             M(1005)_US(0402) Tharindu_lib     (32 72.97)            R90
C34      47pF             M(1005)_US(0402) Tharindu_lib     (36.08 41.02)         R270
C35      0.1uF            M(1005)_US(0402) Tharindu_lib     (35.29 41.02)         R270
C36      47pF             M(1005)_US(0402) Tharindu_lib     (35.72 43.63)         R0
C37      47pF             M(1005)_US(0402) Tharindu_lib     (37.82 43.61)         R180
C38      0.1uF            M(1005)_US(0402) Tharindu_lib     (29.67 25.89)         R0
C39      20pF             M(1005)_US(0402) Tharindu_lib     (35.02 22.23)         R90
C40      20pF             M(1005)_US(0402) Tharindu_lib     (35.02 24.59)         R270
C41      0.1uF            M(1005)_US(0402) Tharindu_lib     (25.2 17.69)          R270
C42      0.1uF            M(1005)_US(0402) Tharindu_lib     (16.24 20.76)         R180
C44      47pF             M(1005)_US(0402) Tharindu_lib     (30.2 39.63)          R180
C45      22uF             M(1608)_US(0603) Tharindu_lib     (72.82 28.95)         R270
C46      22uF             M(1608)_US(0603) Tharindu_lib     (73.93 28.95)         R270
C47      10nF             M(1608)_US(0603) Tharindu_lib     (76.78 31.37)         R180
C48      10uF             M(1608)_US(0603) Tharindu_lib     (80.35 26.58)         R90
C49      22uF             M(1608)_US(0603) Tharindu_lib     (58.3 29.03)          R0
C50      100uF            M(2012)_US(0805) Tharindu_lib     (58.55 30.48)         R0
C51      100pF            M(1005)_US(0402) Tharindu_lib     (58.92 25.64)         R180
C52      1000pF           M(1005)_US(0402) Tharindu_lib     (62.46 27.55)         R90
C53      10uF             M(1608)_US(0603) Tharindu_lib     (57.03 19.11)         R0
C54      0.1uF            M(1005)_US(0402) Tharindu_lib     (58.85 31.73)         R0
C63      0.1uF            M(1005)_US(0402) Tharindu_lib     (71.8 29.27)          R270
C70      100uF            M(2012)_US(0805) Tharindu_lib     (73.92 33.4)          R0
CN1      A3B-50PA-2DS(71) A3B-50PA-2DS(71) Tharindu1        (69 7.3)              MR0
I1       82nH             M(1608)_US(0603) Tharindu_lib     (21.46 65.43)         R0
I5       1.6nH            M(1005)_US(0402) Tharindu_lib     (34.84 56.05)         R0
I6       5.6nH            M(1005)_US(0402) Tharindu_lib     (37.51 70.08)         R180
I7       120nH            M(2012)_US(0805) Tharindu_lib     (40.96 65.06)         R180
IC1      SX1278           SX1278           Tharindu         (21.54 70.58)         R180
IC2      SN74LVC2G14DBVT  SOT-23-6         Tharindu         (38.27 41.19)         R0
IC3      ADL5324          ADL5324          Tharindu         (38.07 63.55)         R90
