Partlist

Exported from schmatic.brd at 04/09/2023 11:15

EAGLE Version 9.6.2 Copyright (c) 1988-2020 Autodesk, Inc.

Assembly variant: 

Part     Value               Package              Library          Position (mm)         Orientation

C1       0.1uF               M(1005)_US(0402)     Tharindu_lib     (14.87 60.61)         R270
C2       47pF                M(1005)_US(0402)     Tharindu_lib     (14.04 60.61)         R270
C3       0.1uF               M(1005)_US(0402)     Tharindu_lib     (21.882 65.06)        R0
C4       47pF                M(1005)_US(0402)     Tharindu_lib     (21.881 64.143)       R0
C5       0.1uF               M(1005)_US(0402)     Tharindu_lib     (21.93 62.809)        R0
C6       0.1uF               M(1005)_US(0402)     Tharindu_lib     (22.088 65.961)       R0
C7       0.1uF               M(1005)_US(0402)     Tharindu_lib     (14.003 70.02)        R90
C8       0.1uF               M(1005)_US(0402)     Tharindu_lib     (15.45 58.33)         R180
C9       47pF                M(1005)_US(0402)     Tharindu_lib     (15.45 59.15)         R180
C10      4.7pF               M(1005)_US(0402)     Tharindu_lib     (19.7 60)             R270
C11      47pF                M(1005)_US(0402)     Tharindu_lib     (18.87 58.05)         R270
C12      6.8pF               M(1005)_US(0402)     Tharindu_lib     (16.96 56.54)         R180
C13      6.8pF               M(1005)_US(0402)     Tharindu_lib     (16.99 55.47)         R180
C14      2.7pF               M(1005)_US(0402)     Tharindu_lib     (19.22 56.01)         R270
C15      4.7pF               M(1005)_US(0402)     Tharindu_lib     (21.93 61.9)          R0
C16      47pF                M(1005)_US(0402)     Tharindu_lib     (23.87 61.9)          R0
C17      47pF                M(1005)_US(0402)     Tharindu_lib     (18.82 53.9)          R270
C18      47pF                M(1005)_US(0402)     Tharindu_lib     (21.796 51.507)       R0
C19      3.45pF              M(1005)_US(0402)     Tharindu_lib     (25.527 69.328)       R90
C20      6.9pF               M(1005)_US(0402)     Tharindu_lib     (28.074 71.064)       R180
C21      1uF                 M(1005)_US(0402)     Tharindu_lib     (31.303 75.069)       R180
C22      0.1uF               M(1005)_US(0402)     Tharindu_lib     (13.12 29.28)         R180
C23      15pF                CAP_(M1005)_0402     Tharindu         (20.459 71.717)       R0
C24      15pF                CAP_(M1005)_0402     Tharindu         (22.646 71.73)        R180
C25      0.1uF               M(1005)_US(0402)     Tharindu_lib     (29.725 76.277)       R90
C26      20pF                M(1005)_US(0402)     Tharindu_lib     (24.266 50.137)       R270
C27      20pF                M(1005)_US(0402)     Tharindu_lib     (23.716 51.507)       R0
C28      20pF                M(1005)_US(0402)     Tharindu_lib     (30.416 65.537)       R180
C29      6.2pF               M(1005)_US(0402)     Tharindu_lib     (30.964 66.953)       R90
C30      100pF               M(1005)_US(0402)     Tharindu_lib     (38.676 58.327)       R180
C31      0.01uF              M(1005)_US(0402)     Tharindu_lib     (38.676 57.317)       R180
C32      10uF                M(1608)_US(0603)     Tharindu_lib     (38.127 55.374)       R270
C33      47pF                M(1005)_US(0402)     Tharindu_lib     (31.351 69.906)       R0
C34      47pF                M(1005)_US(0402)     Tharindu_lib     (28.778 76.277)       R90
